Date,Zone_ID,Precipitation,Humidity,Temperature,Wind,Num_Fires
2009-08-21,4,0.4703116,51.852787,28.647287,9.727377,0
2009-08-22,4,0.001655489,58.593216,28.203884,11.378451,1
2009-08-23,4,0.005387224,61.531387,27.900711,9.372562,0
2009-08-24,4,0.0149171995,43.536877,28.512697,7.7960916,0
2009-08-25,4,0.0028268544,48.513657,29.522741,6.085503,2
2009-08-26,4,0.015172064,63.526318,28.947376,11.784084,0
2009-08-27,4,0.16902976,55.907047,29.399551,9.506636,0
2009-08-28,4,0.001232828,44.908203,28.817225,14.445985,0
2009-08-29,4,0.15817887,56.2018,28.025011,12.230369,0
2009-08-30,4,1.7378556,60.597404,28.211935,9.147385,0
2009-08-31,4,2.6065395,59.348873,27.705923,9.285769,0
2009-09-01,4,0.2735505,57.635128,27.399754,9.297813,0
2009-09-02,4,0.0037223035,49.58028,28.118355,9.665165,0
2009-09-03,4,0.00083456846,48.607555,27.939896,10.200936,0
2009-09-04,4,0.0012322459,55.163025,28.22878,9.163851,1
2009-09-05,4,0.0045970655,57.808823,27.283388,16.141848,1
2009-09-06,4,0.04833068,46.975613,26.7345,11.91593,0
2009-09-07,4,13.8261,41.513264,23.070034,12.150297,0
2009-09-08,4,0.0,40.98515,23.074947,10.930559,0
2009-09-09,4,8.009153e-05,52.330105,21.822289,7.907395,0
2009-09-10,4,0.0136636365,51.934776,22.544695,15.817047,0
2009-09-11,4,3.3045952,64.8107,21.926876,9.877961,0
2009-09-12,4,3.3040612,44.71474,23.567646,8.03644,0
2009-09-13,4,0.027754094,55.867363,22.959873,8.865512,0
2009-09-14,4,4.6222777,52.76924,23.008833,9.908861,0
2009-09-15,4,0.002964629,42.648487,25.645433,15.378706,0
2009-09-16,4,5.1276655,74.29629,23.73645,11.69099,0
2009-09-17,4,26.752653,66.75061,23.508198,8.263633,0
2009-09-18,4,0.06657198,68.32758,22.957123,8.573385,0
2009-09-19,4,0.01780146,59.53414,23.808186,9.868315,0
2009-09-20,4,8.542799,71.01311,20.988958,8.282606,0
2009-09-21,4,6.512141,72.251656,20.692915,8.179976,0
2009-09-22,4,4.507158,82.20896,19.513994,11.371233,0
2009-09-23,4,5.5154996,83.41898,19.333431,8.553445,0
2009-09-24,4,27.93848,83.62547,20.554537,11.503212,0
2009-09-25,4,11.286182,81.86199,20.255192,10.131579,0
2009-09-26,4,9.962986,90.401634,18.798483,14.29791,0
2009-09-27,4,6.726104,84.63448,19.891838,16.133656,0
2009-09-28,4,1.7091696,68.51136,22.22987,10.592719,0
2009-09-29,4,0.5668114,62.59574,22.86987,6.342399,0
2009-09-30,4,0.025844771,65.1527,23.083961,7.585712,0
2009-10-01,4,0.02201819,54.651463,24.38335,12.6811695,0
2009-10-02,4,28.767015,88.99971,19.704422,10.835745,0
2009-10-03,4,23.589401,78.77295,19.45509,9.127525,0
2009-10-04,4,2.1884632,71.27986,19.804176,8.016555,0
2009-10-05,4,0.5826962,63.20695,20.930565,6.683776,0
2009-10-06,4,0.031993408,68.63446,21.31539,8.466566,0
2009-10-07,4,0.18666443,72.90493,21.453773,7.8290677,0
2009-10-08,4,0.028304687,64.17342,22.713406,7.9355617,0
2009-10-09,4,0.03796968,61.24972,23.183697,6.4286013,0
2009-10-10,4,0.038990583,72.75213,21.535439,10.237411,0
2009-10-11,4,0.037190426,75.92812,19.40931,11.534809,0
2009-10-12,4,0.01842129,74.129456,21.09081,14.696866,0
2009-10-13,4,4.734337,53.568344,15.140945,12.885545,0
2009-10-14,4,1.6974984,63.75953,13.593874,9.622025,0
2009-10-15,4,4.866853,83.68564,11.832998,20.098478,0
2009-10-16,4,8.538182,70.29326,13.419533,14.362095,0
2009-10-17,4,2.766708,64.47926,15.579235,7.4628024,0
2009-10-18,4,11.312827,86.03825,12.502294,20.198822,0
2009-10-19,4,10.9491,89.46048,11.584916,5.855593,0
2009-10-20,4,5.4505634,84.01246,13.407714,9.549088,0
2009-10-21,4,0.25180814,63.76576,19.137611,11.697308,0
2009-10-22,4,4.1182714,81.47994,20.883705,8.398943,0
2009-10-23,4,6.0326104,65.53489,18.996544,16.720304,0
2009-10-24,4,36.21658,90.84925,14.495038,11.407003,0
2009-10-25,4,11.672992,81.055176,17.205488,14.611036,0
2009-10-26,4,1.5680203,72.64103,18.232506,9.879091,0
2009-10-27,4,2.2780645,82.83072,17.382132,7.5566387,0
2009-10-28,4,0.72265494,79.374596,17.406527,8.383793,0
2009-10-29,4,0.055333313,75.95109,16.450375,5.852209,0
2009-10-30,4,0.025873486,69.85079,16.409418,7.2858434,0
2009-10-31,4,0.107338294,48.7466,14.134551,12.46639,0
2010-03-25,4,0.043551892,70.68978,16.306684,13.674433,0
2010-03-26,4,0.008307662,54.217957,19.632515,11.118572,0
2010-03-27,4,0.0,72.23293,16.533268,10.34508,0
2010-03-28,4,0.31746992,83.00149,12.181897,19.976084,0
2010-03-29,4,0.00011829598,56.380333,16.294458,8.623676,0
2010-03-30,4,0.0,53.023716,18.38311,16.075258,0
2010-03-31,4,0.0,71.90071,13.675867,13.261776,0
2010-04-01,4,0.0,42.720505,16.35239,8.049342,0
2010-04-02,4,0.0631065,68.095726,14.892498,11.787231,0
2010-04-03,4,0.0048610563,56.456448,13.910107,8.354048,0
2010-04-04,4,0.0007699813,56.93599,17.596933,12.537573,1
2010-04-05,4,0.10830493,65.49946,13.277995,13.650971,0
2010-04-06,4,0.06588103,61.221394,12.300414,12.917198,0
2010-04-07,4,0.0007699813,47.988613,14.523342,6.647676,0
2010-04-08,4,0.0,47.104385,15.4044695,14.334774,0
2010-04-09,4,0.0,55.293922,15.460938,12.710038,0
2010-04-10,4,1.0029554,73.85575,13.373568,7.4343557,0
2010-04-11,4,4.876676,76.568184,14.052137,8.618715,0
2010-04-12,4,0.10064262,75.6355,15.403941,12.344369,0
2010-04-13,4,4.639098,63.51853,15.42651,12.691115,0
2010-04-14,4,0.013088906,71.831406,17.567827,8.99935,0
2010-04-15,4,1.4130484,67.959175,18.526207,12.284893,0
2010-04-16,4,0.01574268,76.93762,16.835062,9.612493,0
2010-04-17,4,0.0362885,79.66359,17.093557,11.27489,0
2010-04-18,4,0.09214623,85.166855,14.830098,11.999496,0
2010-04-19,4,8.547004,91.65506,13.738126,13.275914,0
2010-04-20,4,1.6628276,80.97078,13.245775,13.058655,0
2010-04-21,4,0.25158134,75.12892,15.942529,10.908621,0
2010-04-22,4,0.026186932,36.887417,19.788546,11.951146,0
2010-04-23,4,0.2867907,88.353485,14.032364,9.454637,0
2010-04-24,4,0.2932593,71.44877,17.138794,14.43105,0
2010-04-25,4,0.5796206,71.6952,15.160329,17.095179,0
2010-04-26,4,0.1648437,71.840324,18.490238,7.958467,0
2010-04-27,4,0.19180708,69.91527,18.270351,8.082781,0
2010-04-28,4,0.3468307,58.135937,17.86356,9.277879,1
2010-04-29,4,2.1711087,82.7279,15.106649,11.459708,0
2010-04-30,4,4.4786983,54.542168,18.445192,8.991797,0
2010-05-01,4,0.0056310375,50.51779,19.939764,9.432073,1
2010-05-02,4,0.0007699813,51.602077,20.994772,12.123596,0
2010-05-03,4,0.0,49.68325,22.057648,10.28458,0
2010-05-04,4,0.0,53.65147,20.366255,11.799754,0
2010-05-05,4,0.056091767,76.755875,19.19165,10.228594,0
2010-05-06,4,1.2448896,64.50207,17.130577,9.660585,0
2010-05-07,4,0.019711666,58.910557,17.658482,9.118385,0
2010-05-08,4,0.0,55.756092,18.941671,14.716911,0
2010-05-09,4,0.0,61.955875,18.157461,12.35623,0
2010-05-10,4,0.0,30.198486,24.04857,9.8244915,0
2010-05-11,4,0.0,46.96464,22.678055,12.912767,0
2010-05-12,4,0.0,46.832912,24.162832,10.698147,0
2010-05-13,4,0.0,75.61963,19.547325,10.242556,0
2010-05-14,4,0.0,54.486294,21.339228,13.047886,0
2010-05-15,4,3.393626,72.54074,15.755053,23.559235,0
2010-05-16,4,3.1470847,76.390945,14.603543,22.805506,0
2010-05-17,4,0.66133815,73.83324,14.4322815,18.742846,0
2010-05-18,4,3.6381333,81.98124,15.091087,14.241281,0
2010-05-19,4,1.5569717,64.72024,17.544813,12.374366,0
2010-05-20,4,4.562623,87.22528,13.680814,13.449358,0
2010-05-21,4,7.725343,70.85578,15.163668,9.964458,0
2010-05-22,4,28.435694,76.78443,16.172724,11.458837,0
2010-05-23,4,0.0,74.452965,18.567402,9.29293,0
2010-05-24,4,0.77749014,71.37346,18.526106,8.904312,0
2010-05-25,4,4.153309,76.537605,19.135046,10.075083,0
2010-05-26,4,0.009606832,62.672916,22.242968,10.97954,0
2010-05-27,4,0.0007699813,34.248627,26.0084,9.20016,0
2010-05-28,4,0.0,44.33684,26.215363,10.438165,0
2010-05-29,4,8.998305e-05,61.946003,25.133715,12.056361,0
2010-05-30,4,0.0076497016,58.740334,23.35872,6.6611996,0
2010-05-31,4,0.0,55.066273,22.563982,10.096985,0
2010-06-01,4,6.0174575,67.470314,16.964663,10.100933,0
2010-06-02,4,0.25157043,47.89095,20.333752,10.117546,0
2010-06-03,4,0.47931054,83.79534,18.778652,10.77094,0
2010-06-04,4,0.058710374,73.89541,19.74671,9.794594,0
2010-06-05,4,2.5692575,79.1815,19.047874,11.358057,0
2010-06-06,4,0.0,79.604996,20.774542,8.1193695,0
2010-06-07,4,0.0007699813,65.519875,23.07246,9.246962,0
2010-06-08,4,0.0007699813,69.98811,23.352236,9.234127,1
2010-06-09,4,0.13860817,55.01601,25.352139,10.4142885,0
2010-06-10,4,0.0056310375,50.112503,27.4333,11.617177,0
2010-06-11,4,0.0,37.4993,28.98586,11.408437,0
2010-06-12,4,0.009287467,39.59341,31.856441,8.435982,1
2010-06-13,4,0.0,46.977276,29.861998,15.234274,1
2010-06-14,4,0.0018857714,62.67621,25.487194,6.603103,0
2010-06-15,4,0.0,44.64243,28.435522,9.197783,1
2010-06-16,4,0.004011791,62.529095,26.307655,10.399179,0
2010-06-17,4,0.0,48.469685,28.651144,7.5215387,0
2010-06-18,4,0.0,47.071747,30.455454,6.965104,1
2010-06-19,4,0.13736443,71.1642,21.423227,13.455398,0
2010-06-20,4,3.847317,72.38175,21.74575,14.00229,0
2010-06-21,4,0.8691995,72.81911,18.866522,23.830963,0
2010-06-22,4,7.1438875,83.80504,17.68514,13.580308,0
2010-06-23,4,16.698952,69.8357,18.54329,11.473918,0
2010-06-24,4,0.5134667,79.46659,19.171272,10.265805,0
2010-06-25,4,2.6016192,66.558624,21.041021,11.117906,0
2010-06-26,4,0.0007699813,58.246124,22.844355,8.322187,0
2010-06-27,4,1.3234233,78.18927,21.561829,7.922849,0
2010-06-28,4,0.114543036,77.07103,22.384848,10.965704,0
2010-06-29,4,0.07532186,70.31411,23.556332,8.988732,0
2010-06-30,4,0.0,71.56711,24.007782,8.056248,0
2010-07-01,4,0.0037500802,64.78418,25.104557,10.984821,0
2010-07-02,4,0.02980379,70.27225,25.495855,9.235394,1
2010-07-03,4,0.0026557525,72.34218,25.672916,9.160479,0
2010-07-04,4,0.33205917,71.854744,26.34234,11.59621,1
2010-07-05,4,0.0,64.266525,27.329706,8.673265,0
2010-07-06,4,0.0,73.37957,26.85274,8.139684,0
2010-07-07,4,0.13067324,74.6789,26.459328,11.5299015,0
2010-07-08,4,0.91765046,71.10177,24.432629,9.766496,0
2010-07-09,4,0.005537376,53.32435,25.625832,9.104175,1
2010-07-10,4,0.0,50.774017,25.744356,9.007139,0
2010-07-11,4,0.0,53.563488,26.262302,8.764055,1
2010-07-12,4,0.0007699813,55.264053,27.37594,9.319733,0
2010-07-13,4,0.0,51.76185,28.014095,9.815479,0
2010-07-14,4,0.0,66.96158,28.80791,8.560494,1
2010-07-15,4,0.0,46.58055,31.582352,8.689869,0
2010-07-16,4,0.0,58.94643,31.066013,8.108982,2
2010-07-17,4,0.0,61.91758,30.280087,7.2964087,2
2010-07-18,4,0.0,68.83743,28.584444,10.897309,1
2010-07-19,4,0.107527986,63.099796,28.245516,8.156438,0
2010-07-20,4,7.077268,54.175816,28.662209,8.456365,0
2010-07-21,4,0.004642207,60.41976,28.289549,8.2630625,0
2010-07-22,4,0.4242394,64.08918,28.683638,10.282762,1
2010-07-23,4,0.0,60.58265,30.184698,9.968817,1
2010-07-24,4,0.021513714,75.08935,28.769388,9.542434,0
2010-07-25,4,0.1429924,66.95572,24.49455,9.09187,0
2010-07-26,4,9.731516,66.128746,23.10869,10.421226,0
2010-07-27,4,2.3245084,60.66736,22.523726,5.302933,0
2010-07-28,4,1.3827249,56.116245,24.630003,7.862559,0
2010-07-29,4,0.0015340295,50.853092,26.585508,9.567985,0
2010-07-30,4,0.0007699813,46.746906,27.731777,11.501819,1
2010-07-31,4,0.26761028,66.452644,23.527002,13.209182,1
2010-08-01,4,0.05410248,66.02319,24.123785,12.099497,0
2010-08-02,4,0.0010137347,64.02216,26.124462,9.190904,0
2010-08-03,4,0.0,69.01186,26.556282,8.3712,0
2010-08-04,4,0.0018857714,68.4251,25.955654,10.5449915,0
2010-08-05,4,0.0015340295,66.79386,25.602594,9.176408,1
2010-08-06,4,0.03909979,60.031975,25.547989,15.715394,2
2010-08-07,4,0.003812548,62.35523,23.641092,9.816793,1
2010-08-08,4,0.0015340295,67.95344,24.297312,12.979047,0
2010-08-09,4,0.0002496866,71.76735,25.176804,11.646851,0
2010-08-10,4,0.0059876246,68.61734,26.022552,12.153428,2
2010-08-11,4,0.0044246074,65.078804,27.154509,11.34714,1
2010-08-12,4,0.0007699813,66.63272,27.302752,8.7220125,1
2010-08-13,4,0.0,48.748173,29.370644,9.517707,1
2010-08-14,4,0.0,42.5206,31.964935,8.207908,2
2010-08-15,4,0.0,50.938908,31.102835,7.0151176,1
2010-08-16,4,0.0,72.61116,27.458096,10.810598,0
2010-08-17,4,0.0,52.148445,27.385622,13.823541,1
2010-08-18,4,0.0,47.305553,26.764652,11.491756,1
2010-08-19,4,0.0,59.637955,27.148136,8.879371,0
2010-08-20,4,0.0,53.084545,29.174421,9.66392,2
2010-08-21,4,0.0,37.780838,32.669064,9.571396,3
2010-08-22,4,0.013136672,64.98198,27.484827,7.5622916,0
2010-08-23,4,0.53751373,70.74447,27.592108,8.633874,1
2010-08-24,4,0.0020273873,55.616436,28.401583,10.649851,2
2010-08-25,4,0.0011637929,56.436768,28.495548,8.687736,0
2010-08-26,4,0.00039767753,62.381042,29.402065,10.631562,2
2010-08-27,4,0.0001515931,60.035404,28.479109,10.904154,2
